1945,3488284
1946,4183072
1947,5000777
1948,5417871
1949,5950775
1950,6277500
1951,6748950
1952,7091508
1953,7448562
1954,7752730
1955,8037084
1956,8342674
1957,8664412
1958,9006061
1959,9356024
1960,9683802
1961,9935667
1962,10177298
1963,10428262
1964,10634364
1965,10869244
1966,11004515
1967,11171836
1968,11349708
1969,11453600
1970,11408071
1971,11513020
1972,11581906
1973,11612311
1974,11622651
1975,11673554
1976,11683613
1977,11695150
1978,11696373
1979,11687222
1980,11618281
1981,11634428
1982,11676264
1983,11746190
1984,11822369
1985,11829363
1986,11906489
1987,11929951
1988,11935700
1989,11927457
1990,11855563
1991,11884715
1992,11890411
1993,11861778
1994,11815831
1995,11773605
1996,11789799
1997,11838466
1998,11904007
1999,11973385
2000,12064101
2001,12178176
2002,12292467
2003,12388222
2004,12477934
2005,12576601
2006,12700327
2007,12835130
2008,12965871
2009,13077625
2010,13159388
2011,13191203
2012,13225551
2013,13301154
2014,13398087
2015,13515271
2016,13651276
2017,13773187
2018,13888986
2019,14004097
2020,14047594
