Date,Temperature
1946-01,3.5
1946-02,4.2
1946-03,6.2
1946-04,14.3
1946-05,16.9
1946-06,23.3
1946-07,26.2
1946-08,26.7
1946-09,23.1
1946-10,17.3
1946-11,12.4
1946-12,4.7
1947-01,3.4
1947-02,2.7
1947-03,6.8
1947-04,13.1
1947-05,16.9
1947-06,19.2
1947-07,25.7
1947-08,28.0
1947-09,22.9
1947-10,15.6
1947-11,10.3
1947-12,4.1
1948-01,4.0
1948-02,5.1
1948-03,6.5
1948-04,14.2
1948-05,18.1
1948-06,21.6
1948-07,26.0
1948-08,25.4
1948-09,23.8
1948-10,17.4
1948-11,11.9
1948-12,7.9
1949-01,5.4
1949-02,6.5
1949-03,6.7
1949-04,12.1
1949-05,18.4
1949-06,19.4
1949-07,25.3
1949-08,26.6
1949-09,22.4
1949-10,16.1
1949-11,10.0
1949-12,6.0
1950-01,5.0
1950-02,4.7
1950-03,7.7
1950-04,13.9
1950-05,19.2
1950-06,21.8
1950-07,26.5
1950-08,26.2
1950-09,23.8
1950-10,15.8
1950-11,11.1
1950-12,5.4
1951-01,3.3
1951-02,4.5
1951-03,8.8
1951-04,13.3
1951-05,18.0
1951-06,21.2
1951-07,24.3
1951-08,26.7
1951-09,20.7
1951-10,17.3
1951-11,11.4
1951-12,7.3
1952-01,4.3
1952-02,2.6
1952-03,7.4
1952-04,13.3
1952-05,18.1
1952-06,21.3
1952-07,24.3
1952-08,26.8
1952-09,22.7
1952-10,17.3
1952-11,12.0
1952-12,5.3
1953-01,3.3
1953-02,4.2
1953-03,9.4
1953-04,12.7
1953-05,17.8
1953-06,20.6
1953-07,24.7
1953-08,25.0
1953-09,22.2
1953-10,17.2
1953-11,10.4
1953-12,7.6
1954-01,4.3
1954-02,5.6
1954-03,8.4
1954-04,14.9
1954-05,17.6
1954-06,18.3
1954-07,22.3
1954-08,27.0
1954-09,24.6
1954-10,15.5
1954-11,11.7
1954-12,7.1
1955-01,3.8
1955-02,6.2
1955-03,8.7
1955-04,13.6
1955-05,18.2
1955-06,22.7
1955-07,27.6
1955-08,26.3
1955-09,22.3
1955-10,17.6
1955-11,11.0
1955-12,7.9
1956-01,4.2
1956-02,4.3
1956-03,8.6
1956-04,13.1
1956-05,17.6
1956-06,22.3
1956-07,24.2
1956-08,25.4
1956-09,22.7
1956-10,17.3
1956-11,11.8
1956-12,5.0
1957-01,5.7
1957-02,4.3
1957-03,6.8
1957-04,14.3
1957-05,17.1
1957-06,19.8
1957-07,24.4
1957-08,27.3
1957-09,20.8
1957-10,17.2
1957-11,12.9
1957-12,8.0
1958-01,5.0
1958-02,6.0
1958-03,8.4
1958-04,13.9
1958-05,18.0
1958-06,22.0
1958-07,24.9
1958-08,25.8
1958-09,23.2
1958-10,16.0
1958-11,11.1
1958-12,7.9
1959-01,3.7
1959-02,7.3
1959-03,8.9
1959-04,15.3
1959-05,18.5
1959-06,20.4
1959-07,26.1
1959-08,26.7
1959-09,24.1
1959-10,17.6
1959-11,12.3
1959-12,7.0
1960-01,5.0
1960-02,6.6
1960-03,9.5
1960-04,12.8
1960-05,17.8
1960-06,21.5
1960-07,25.8
1960-08,26.4
1960-09,23.6
1960-10,16.8
1960-11,12.3
1960-12,6.7
1961-01,3.6
1961-02,4.5
1961-03,8.2
1961-04,14.9
1961-05,19.8
1961-06,22.6
1961-07,27.4
1961-08,26.8
1961-09,25.3
1961-10,18.3
1961-11,12.7
1961-12,7.2
1962-01,4.5
1962-02,5.9
1962-03,8.2
1962-04,14.1
1962-05,18.4
1962-06,20.9
1962-07,25.1
1962-08,28.1
1962-09,24.5
1962-10,16.7
1962-11,11.3
1962-12,7.0
1963-01,3.2
